num_movies,language
28745,English
4196,Français
2625,Deutsch
2413,Español
2367,Italiano
1758,日本語
1563,Pусский
790,普通话
707,हिन्दी
591,Português
560,svenska
542,한국어/조선말
524,Polski
498,
473,广州话 / 廣州話
371,suomi
360,Magyar
341,العربية
340,Nederlands
319,No Language
302,Dansk
284,Český
247,Türkçe
215,עִבְרִית
213,ελληνικά
176,ภาษาไทย
171,Norsk
142,فارسی
140,Latin
128,Română
111,தமிழ்
108,Srpski
68,తెలుగు
61,Tiếng Việt
60,Íslenska
55,اردو
53,Український
52,Hrvatski
50,Eesti
47,বাংলা
37,Bahasa indonesia
37,Català
33,Bosanski
33,ქართული
32,български език
29,shqip
28,Afrikaans
26,Lietuvikai
25,Slovenčina
24,Kiswahili
22,Slovenščina
21,Latviešu
21,Gaeilge
18,isiZulu
18,ਪੰਜਾਬੀ
16,euskera
16,Bahasa melayu
14,Wolof
11,қазақ
9,Somali
9,Cymraeg
8,پښتو
7,Esperanto
6,Bamanankan
5,Galego
5,??????
4,Azərbaycan
4,?????
3,Kinyarwanda
3,Malti
3,Bokmål
2,беларуская мова
2,Fulfulde
2,ozbek
1,Hausa
